15 hermite_formula_-10000000000000000.0000000_10000000000000000.000000,Average Error,Error LB,Error UB,Abs. Worst
9 laguerre_formula_-1000000000000000.0000000_1000000000000000.000000,0,0,0,0
,0,0,0,0
10 laguerre_formula_-100000000000000.0000000_100000000000000.000000,Average Error,Error LB,Error UB,Abs. Worst
13 laguerre_formula_-100000000000000.0000000_100000000000000.000000,0,0,0,0
14 laguerre_formula_-100000000000000.0000000_100000000000000.000000,0,0,0,0
15 laguerre_formula_-100000000000000.0000000_100000000000000.000000,0,0,0,0
16 laguerre_formula_-100000000000000.0000000_100000000000000.000000,0,0,0,0
17 laguerre_formula_-100000000000000.0000000_100000000000000.000000,0,0,0,0
1 laguerre_formula_-100000000000000.0000000_100000000000000.000000,0,0,0,0
2 laguerre_formula_-100000000000000.0000000_100000000000000.000000,0,0,0,0
3 laguerre_formula_-100000000000000.0000000_100000000000000.000000,0,0,0,0
5 laguerre_formula_-100000000000000.0000000_100000000000000.000000,0,0,0,0
6 laguerre_formula_-100000000000000.0000000_100000000000000.000000,0,0,0,0
7 laguerre_formula_-100000000000000.0000000_100000000000000.000000,0,0,0,0
8 laguerre_formula_-100000000000000.0000000_100000000000000.000000,0,0,0,0
,0,0,0,0
0 laguerre_formula_-10000000000000.0000000_10000000000000.000000,Average Error,Error LB,Error UB,Abs. Worst
10 laguerre_formula_-10000000000000.0000000_10000000000000.000000,0,0,0,0
11 laguerre_formula_-10000000000000.0000000_10000000000000.000000,0,0,0,0
12 laguerre_formula_-10000000000000.0000000_10000000000000.000000,0,0,0,0
13 laguerre_formula_-10000000000000.0000000_10000000000000.000000,0,0,0,0
14 laguerre_formula_-10000000000000.0000000_10000000000000.000000,0,0,0,0
15 laguerre_formula_-10000000000000.0000000_10000000000000.000000,0,0,0,0
16 laguerre_formula_-10000000000000.0000000_10000000000000.000000,0,0,0,0
17 laguerre_formula_-10000000000000.0000000_10000000000000.000000,0,0,0,0
1 laguerre_formula_-10000000000000.0000000_10000000000000.000000,0,0,0,0
2 laguerre_formula_-10000000000000.0000000_10000000000000.000000,0,0,0,0
3 laguerre_formula_-10000000000000.0000000_10000000000000.000000,0,0,0,0
4 laguerre_formula_-10000000000000.0000000_10000000000000.000000,0,0,0,0
5 laguerre_formula_-10000000000000.0000000_10000000000000.000000,0,0,0,0
6 laguerre_formula_-10000000000000.0000000_10000000000000.000000,0,0,0,0
8 laguerre_formula_-10000000000000.0000000_10000000000000.000000,0,0,0,0
9 laguerre_formula_-10000000000000.0000000_10000000000000.000000,0,0,0,0
,0,0,0,0
0 laguerre_formula_-1000000000000.0000000_1000000000000.000000,Average Error,Error LB,Error UB,Abs. Worst
10 laguerre_formula_-1000000000000.0000000_1000000000000.000000,0,0,0,0
12 laguerre_formula_-1000000000000.0000000_1000000000000.000000,0,0,0,0
14 laguerre_formula_-1000000000000.0000000_1000000000000.000000,0,0,0,0
15 laguerre_formula_-1000000000000.0000000_1000000000000.000000,0,0,0,0
16 laguerre_formula_-1000000000000.0000000_1000000000000.000000,0,0,0,0
17 laguerre_formula_-1000000000000.0000000_1000000000000.000000,0,0,0,0
1 laguerre_formula_-1000000000000.0000000_1000000000000.000000,0,0,0,0
2 laguerre_formula_-1000000000000.0000000_1000000000000.000000,0,0,0,0
3 laguerre_formula_-1000000000000.0000000_1000000000000.000000,0,0,0,0
4 laguerre_formula_-1000000000000.0000000_1000000000000.000000,0,0,0,0
5 laguerre_formula_-1000000000000.0000000_1000000000000.000000,0,0,0,0
6 laguerre_formula_-1000000000000.0000000_1000000000000.000000,0,0,0,0
7 laguerre_formula_-1000000000000.0000000_1000000000000.000000,0,0,0,0
8 laguerre_formula_-1000000000000.0000000_1000000000000.000000,0,0,0,0
9 laguerre_formula_-1000000000000.0000000_1000000000000.000000,0,0,0,0
,0,0,0,0
0 laguerre_formula_-100000000000.0000000_100000000000.000000,Average Error,Error LB,Error UB,Abs. Worst
10 laguerre_formula_-100000000000.0000000_100000000000.000000,0,0,0,0
12 laguerre_formula_-100000000000.0000000_100000000000.000000,0,0,0,0
13 laguerre_formula_-100000000000.0000000_100000000000.000000,0,0,0,0
15 laguerre_formula_-100000000000.0000000_100000000000.000000,0,0,0,0
1 laguerre_formula_-100000000000.0000000_100000000000.000000,0,0,0,0
3 laguerre_formula_-100000000000.0000000_100000000000.000000,0,0,0,0
4 laguerre_formula_-100000000000.0000000_100000000000.000000,0,0,0,0
6 laguerre_formula_-100000000000.0000000_100000000000.000000,0,0,0,0
9 laguerre_formula_-100000000000.0000000_100000000000.000000,0,0,0,0
,0,0,0,0
0 laguerre_formula_-10000000000.0000000_10000000000.000000,Average Error,Error LB,Error UB,Abs. Worst
10 laguerre_formula_-10000000000.0000000_10000000000.000000,0,0,0,0
14 laguerre_formula_-10000000000.0000000_10000000000.000000,0,0,0,0
15 laguerre_formula_-10000000000.0000000_10000000000.000000,0,0,0,0
16 laguerre_formula_-10000000000.0000000_10000000000.000000,0,0,0,0
1 laguerre_formula_-10000000000.0000000_10000000000.000000,0,0,0,0
2 laguerre_formula_-10000000000.0000000_10000000000.000000,0,0,0,0
3 laguerre_formula_-10000000000.0000000_10000000000.000000,0,0,0,0
6 laguerre_formula_-10000000000.0000000_10000000000.000000,0,0,0,0
7 laguerre_formula_-10000000000.0000000_10000000000.000000,0,0,0,0
9 laguerre_formula_-10000000000.0000000_10000000000.000000,0,0,0,0
,0,0,0,0
0 laguerre_formula_-1000000000.0000000_1000000000.000000,Average Error,Error LB,Error UB,Abs. Worst
10 laguerre_formula_-1000000000.0000000_1000000000.000000,0,0,0,0
11 laguerre_formula_-1000000000.0000000_1000000000.000000,0,0,0,0
12 laguerre_formula_-1000000000.0000000_1000000000.000000,0,0,0,0
13 laguerre_formula_-1000000000.0000000_1000000000.000000,0,0,0,0
14 laguerre_formula_-1000000000.0000000_1000000000.000000,0,0,0,0
15 laguerre_formula_-1000000000.0000000_1000000000.000000,0,0,0,0
17 laguerre_formula_-1000000000.0000000_1000000000.000000,0,0,0,0
1 laguerre_formula_-1000000000.0000000_1000000000.000000,0,0,0,0
2 laguerre_formula_-1000000000.0000000_1000000000.000000,0,0,0,0
3 laguerre_formula_-1000000000.0000000_1000000000.000000,0,0,0,0
4 laguerre_formula_-1000000000.0000000_1000000000.000000,0,0,0,0
5 laguerre_formula_-1000000000.0000000_1000000000.000000,0,0,0,0
6 laguerre_formula_-1000000000.0000000_1000000000.000000,0,0,0,0
7 laguerre_formula_-1000000000.0000000_1000000000.000000,0,0,0,0
8 laguerre_formula_-1000000000.0000000_1000000000.000000,0,0,0,0
9 laguerre_formula_-1000000000.0000000_1000000000.000000,0,0,0,0
,0,0,0,0
10 laguerre_formula_-10000000.0000000_100000000.000000,Average Error,Error LB,Error UB,Abs. Worst
12 laguerre_formula_-10000000.0000000_100000000.000000,0,0,0,0
13 laguerre_formula_-10000000.0000000_100000000.000000,0,0,0,0
14 laguerre_formula_-10000000.0000000_100000000.000000,0,0,0,0
15 laguerre_formula_-10000000.0000000_100000000.000000,0,0,0,0
16 laguerre_formula_-10000000.0000000_100000000.000000,0,0,0,0
17 laguerre_formula_-10000000.0000000_100000000.000000,0,0,0,0
1 laguerre_formula_-10000000.0000000_100000000.000000,0,0,0,0
2 laguerre_formula_-10000000.0000000_100000000.000000,0,0,0,0
3 laguerre_formula_-10000000.0000000_100000000.000000,0,0,0,0
4 laguerre_formula_-10000000.0000000_100000000.000000,0,0,0,0
6 laguerre_formula_-10000000.0000000_100000000.000000,0,0,0,0
8 laguerre_formula_-10000000.0000000_100000000.000000,0,0,0,0
9 laguerre_formula_-10000000.0000000_100000000.000000,0,0,0,0
,0,0,0,0
0 laguerre_formula_-1000000.0000000_10000000.000000,Average Error,Error LB,Error UB,Abs. Worst
10 laguerre_formula_-1000000.0000000_10000000.000000,0,0,0,0
11 laguerre_formula_-1000000.0000000_10000000.000000,0,0,0,0
12 laguerre_formula_-1000000.0000000_10000000.000000,0,0,0,0
13 laguerre_formula_-1000000.0000000_10000000.000000,0,0,0,0
14 laguerre_formula_-1000000.0000000_10000000.000000,0,0,0,0
15 laguerre_formula_-1000000.0000000_10000000.000000,0,0,0,0
